by,descendants,id,kids,score,text,time,title,type,url
SE_Student,11.0,20532785,"[20537982, 20533677, 20534436, 20537940, 20534384]",172,,1564122068,Stanford CS Education Library (2001),story,http://cslibrary.stanford.edu/
tobr,179.0,20549685,"[20556576, 20556492, 20550018, 20550455, 20550570, 20552447, 20553959, 20550244, 20552513, 20550579, 20552766, 20550326, 20550083, 20550121, 20550088, 20552210, 20551747, 20550193, 20550008, 20551330, 20550683, 20551855, 20550779, 20550101, 20552007, 20551195, 20550450, 20551206, 20552302, 20551342, 20550485, 20551170, 20550052, 20551898, 20550023, 20552945, 20550228, 20551801, 20551915, 20550087, 20552464]",197,,1564345764,Why Hypercard Had to Die (2011),story,http://www.loper-os.org/?p=568
mitchbob,121.0,20544058,"[20544800, 20544394, 20544467, 20544669, 20545672, 20544485, 20544459, 20546089, 20549160, 20545023, 20545519, 20545864, 20546444, 20544440, 20545709, 20544901, 20546415]",216,,1564259993,What Swimming Taught Me About Happiness,story,https://www.nytimes.com/2019/07/27/opinion/sunday/swimming-happiness.html
saranshk,86.0,20543495,"[20543720, 20543657, 20543635, 20545733, 20544165, 20544235, 20546096, 20546045, 20544767, 20544251]",166,,1564253571,Teach Yourself Programming in Ten Years (1998),story,https://norvig.com/21-days.html
adamnemecek,41.0,20542470,"[20543243, 20542747, 20543667, 20543972, 20544008, 20550890, 20544794, 20543558, 20542801, 20542886, 20549211, 20543184, 20544709, 20543446, 20542827]",225,,1564241654,Discrete Differential Geometry: An Applied Introduction [pdf],story,https://www.cs.cmu.edu/~kmcrane/Projects/DGPDEC/paper.pdf
ingve,113.0,20550165,"[20551632, 20551982, 20551277, 20551826, 20551752, 20551006, 20551240, 20551093, 20551224, 20550793, 20552351, 20550869, 20551200, 20551291, 20550718]",177,,1564352867,Comparisons in C++20,story,https://brevzin.github.io/c++/2019/07/28/comparisons-cpp20/
situational87,199.0,20550709,"[20551007, 20554161, 20553648, 20552329, 20552953, 20554493, 20554073, 20551034, 20552662, 20553017, 20553379, 20550837, 20550961, 20554647, 20550972, 20551439, 20550875, 20550848, 20551383]",143,,1564361702,The Lithium Mine Buildup Is Outpacing the Electric-Car Boom,story,https://www.bloomberg.com/news/articles/2019-07-28/the-lithium-mine-buildup-is-outpacing-the-electric-car-boom
pseudolus,97.0,20549422,"[20550376, 20550682, 20549736, 20549769, 20550186, 20550082, 20549789, 20550989, 20550464, 20549832, 20550599, 20551057, 20549942, 20549801, 20550482, 20549741]",187,,1564342609,"Border Collie Trained to Recognize 1,022 Nouns Dies",story,https://www.nytimes.com/2019/07/27/science/chaser-border-collie-dies.html
pseudolus,61.0,20547441,"[20547993, 20549652, 20547901, 20549118, 20548957, 20547994, 20547845, 20547961, 20547608, 20549591, 20549649, 20550454, 20550192]",185,,1564320792,"One man, eight years, nearly 20k cat videos, and not a single viral hit",story,https://theoutline.com/post/7709/meet-the-man-who-has-spent-the-past-years-making-over-19000-videos-of-himself-feeding-cats
doener,88.0,20544395,"[20544731, 20544867, 20544765, 20544926, 20544594, 20544747, 20545016, 20545287, 20544857, 20545035, 20544683, 20544817, 20544737, 20545116, 20544788, 20544790, 20544809, 20544770, 20545047, 20546377, 20544769, 20544907, 20545050]",121,,1564263943,Entrepreneurs don’t have a gene for risk–they come from families with money,story,https://qz.com/455109/entrepreneurs-dont-have-a-special-gene-for-risk-they-come-from-families-with-money/
antonkozlov,61.0,20540795,"[20552975, 20550755, 20552549, 20550499, 20550822, 20550459, 20553322, 20552290, 20551974, 20554677, 20552839, 20551138, 20553471, 20550534]",184,,1564211218,OpenBitTorrent – An Open Tracker Project,story,https://openbittorrent.com/
jasonpeacock,50.0,20542002,"[20542352, 20543182, 20543679, 20545710, 20545536, 20542878, 20544224, 20542221, 20543819, 20544326, 20544227, 20542529, 20542605]",195,,1564235302,Perils of Constructors,story,https://matklad.github.io/2019/07/16/perils-of-constructors.html
gerbilly,141.0,20535654,"[20544237, 20544305, 20545705, 20544667, 20546259, 20544185, 20544634, 20544431, 20544932, 20544798, 20544114, 20546057, 20544125, 20544598, 20546301, 20546012, 20546361, 20544710, 20544705, 20545256, 20546853, 20545440, 20544243, 20545905, 20544699, 20544814, 20545619, 20547160, 20545407, 20544981, 20544308, 20544589, 20545962, 20546867, 20545295, 20544972, 20546011, 20544211, 20546274, 20546314, 20544700, 20544499, 20544359, 20544436]",221,,1564156113,The Problem of Mindfulness,story,https://aeon.co/essays/mindfulness-is-loaded-with-troubling-metaphysical-assumptions
jrepinc,78.0,20536652,"[20537145, 20536860, 20536946, 20537139, 20537205, 20554692, 20536967, 20536855, 20537565, 20540084, 20538686, 20539096, 20536909, 20536850, 20538974, 20537353, 20536813, 20541387, 20536898, 20537696]",150,,1564163115,Pine64 Unleashes $200 Rockchip-Powered Pinebook Pro Linux Laptop,story,https://hothardware.com/news/raspberry-pi-rival-pine64-unleashes-200-pinebook-pro-linux-laptop#V7YJkhDrjbkSpcum.02
EndXA,19.0,20535628,"[20536016, 20537872, 20540327, 20537885, 20540597, 20538305, 20538989, 20541665, 20537614, 20539598, 20539610, 20538978]",138,,1564155923,Tree stumps that should be dead can be kept alive by nearby trees,story,https://www.newscientist.com/article/2211209-tree-stumps-that-should-be-dead-can-be-kept-alive-by-nearby-trees/
maxekman,33.0,20544076,"[20546619, 20545880, 20545849, 20547101, 20546335, 20544836, 20546542, 20545579, 20546375]",168,,1564260238,Purescript-native can now target Golang,story,https://discourse.purescript.org/t/purescript-native-can-now-target-golang/878
dkarbayev,104.0,20552752,"[20555477, 20554894, 20555909, 20556500, 20554508, 20554083, 20554001, 20556756, 20554239, 20554994, 20556954, 20556826, 20554188, 20555513, 20554584, 20556350, 20554455]",165,,1564391680,Go Contracts – Draft Design,story,https://go.googlesource.com/proposal/+/master/design/go2draft-contracts.md
JumpCrisscross,115.0,20544222,"[20544943, 20544712, 20544470, 20544435, 20544562, 20544383, 20544451, 20544443, 20544462, 20544960, 20544623, 20545014, 20544496, 20545329, 20549828, 20544979, 20546131, 20545045, 20547385, 20544460, 20544393, 20544479, 20545080, 20544457, 20545196, 20544937, 20544742, 20545486, 20544525, 20544362, 20544370]",174,,1564261938,Facebook Is Dying,story,https://medium.com/crypto-oracle/facebook-is-dying-libra-wont-save-it-wall-street-is-clueless-47243c17f107
spking,306.0,20542738,"[20543007, 20542931, 20543490, 20542907, 20543084, 20543016, 20543146, 20545428, 20548552, 20546202, 20543532, 20543308, 20543102, 20542945, 20543298, 20542989, 20546174, 20543162, 20543301, 20546525, 20548114, 20543724, 20544968, 20546372, 20545307, 20543264, 20546482, 20543321, 20543471, 20543777, 20545565, 20543111, 20543265, 20544198]",170,,1564244970,Biology is the New Tech: Letter from a conference on CRISPR,story,https://airmail.news/issues/2019-7-27/should-the-rich-be-allowed-to-buy-the-best-genes
leandot,87.0,20541188,"[20542261, 20542694, 20542331, 20543758, 20542272, 20544018, 20542346, 20543179, 20542344, 20543068, 20542233, 20542480, 20545021, 20543611, 20543404, 20542353, 20542372, 20542123]",159,,1564219840,Goodbye Docker: Purging Is Such Sweet Sorrow,story,https://zwischenzugs.com/2019/07/27/goodbye-docker-purging-is-such-sweet-sorrow/
fagnerbrack,83.0,20545257,"[20546875, 20546729, 20546572, 20546302, 20546511, 20547735, 20545931, 20545939, 20550140, 20546187, 20546122, 20545712, 20546143, 20545998, 20546327, 20546437, 20545719, 20545506, 20545669, 20546512, 20546049]",164,,1564275581,Problems with the CSS background-image property,story,https://nystudio107.com/blog/the-css-background-image-property-as-an-anti-pattern
haasted,72.0,20549424,"[20551311, 20551187, 20550226, 20551318, 20550493, 20554816, 20551633, 20552962, 20551534, 20550862, 20554221, 20550785, 20552865]",166,,1564342642,In Praise of Walking,story,https://www.theguardian.com/lifeandstyle/2019/jul/28/its-a-superpower-how-walking-makes-us-healthier-happier-and-brainier
markchristian,67.0,20546231,"[20548107, 20547886, 20547055, 20556064, 20547038, 20548928, 20547511, 20547744, 20547235, 20549483, 20549542, 20548681, 20549261, 20548728, 20552779, 20548294, 20550838, 20547877, 20547451, 20547435]",230,,1564297737,Burnout,story,https://johnnyrodgers.is/burnout
